"","V1","V2","V3"
"1",0,1,0
"2",0,1,0
"3",0,1,0
"4",0,1,0
"5",0,1,0
"6",0,1,0
"7",0,1,0
"8",0,1,0
"9",0,1,0
"10",0,1,0
"11",0,1,0
"12",0,1,0
"13",0,1,0
"14",0,1,0
"15",0,1,0
"16",0,1,0
"17",0,1,0
"18",0,1,0
"19",0,1,0
"20",0,1,0
"21",0,1,0
"22",0,1,0
"23",0,1,0
"24",0,1,0
"25",0,1,0
"26",0,1,0
"27",0,1,0
"28",0,1,0
"29",0,1,0
"30",0,1,0
"31",0,1,0
"32",0,1,0
"33",0,1,0
"34",0,1,0
"35",0,1,0
"36",0,1,0
"37",0,1,0
"38",0,1,0
"39",0,1,0
"40",0,1,0
"41",0,1,0
"42",0,1,0
"43",0,1,0
"44",0,1,0
"45",0,1,0
"46",0,1,0
"47",0,1,0
"48",0,1,0
"49",0,1,0
"50",0,1,0
"51",0,1,0
"52",0,1,0
"53",0,1,0
"54",0,1,0
"55",0,1,0
"56",0,1,0
"57",0,1,0
"58",0,1,0
"59",0,1,0
"60",0,1,0
"61",0,1,0
"62",0,1,0
"63",0,1,0
"64",0,1,0
"65",0,1,0
"66",0,1,0
"67",0,1,0
"68",0,1,0
"69",0,1,0
"70",0,1,0
"71",0,1,0
"72",0,1,0
"73",0,1,0
"74",0,1,0
"75",0,1,0
"76",0,1,0
"77",0,1,0
"78",0,1,0
"79",0,1,0
"80",0,1,0
"81",0,1,0
"82",0,1,0
"83",0,1,0
"84",0,1,0
"85",0,1,0
"86",0,1,0
"87",0,1,0
"88",0,1,0
"89",0,1,0
"90",0,1,0
"91",0,1,0
"92",0,1,0
"93",0,1,0
"94",0,1,0
"95",0,1,0
"96",0,1,0
"97",0,1,0
"98",0,1,0
"99",0,1,0
"100",0,1,0
"101",0,1,0
"102",0,1,0
"103",0,1,0
"104",0,1,0
"105",0,1,0
"106",0,1,0
"107",0,1,0
"108",0,1,0
"109",0,1,0
"110",0,1,0
"111",0,1,0
"112",0,1,0
"113",0,1,0
"114",0,1,0
"115",0,1,0
"116",0,1,0
"117",0,1,0
"118",0,1,0
"119",0,1,0
"120",0,1,0
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
"137",0,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
"158",0,0,1
"159",0,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",0,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
"171",0,0,1
"172",0,0,1
"173",0,0,1
"174",0,0,1
"175",0,0,1
"176",0,0,1
"177",0,0,1
"178",0,0,1
"179",0,0,1
"180",0,0,1
"181",1,0,0
"182",1,0,0
"183",1,0,0
"184",1,0,0
"185",1,0,0
"186",1,0,0
"187",1,0,0
"188",1,0,0
"189",1,0,0
"190",1,0,0
"191",1,0,0
"192",1,0,0
"193",1,0,0
"194",1,0,0
"195",1,0,0
"196",1,0,0
"197",1,0,0
"198",1,0,0
"199",1,0,0
"200",1,0,0
"201",1,0,0
"202",1,0,0
"203",1,0,0
"204",1,0,0
"205",1,0,0
"206",1,0,0
"207",1,0,0
"208",1,0,0
"209",1,0,0
"210",1,0,0
"211",1,0,0
"212",1,0,0
"213",1,0,0
"214",1,0,0
"215",1,0,0
"216",1,0,0
"217",1,0,0
"218",1,0,0
"219",1,0,0
"220",1,0,0
"221",1,0,0
"222",1,0,0
"223",1,0,0
"224",1,0,0
"225",1,0,0
"226",1,0,0
"227",1,0,0
"228",1,0,0
"229",1,0,0
"230",1,0,0
"231",1,0,0
"232",1,0,0
"233",1,0,0
"234",1,0,0
"235",1,0,0
"236",1,0,0
"237",1,0,0
"238",1,0,0
"239",1,0,0
"240",1,0,0
"241",0,0,1
"242",0,0,1
"243",0,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",0,0,1
"248",0,0,1
"249",0,0,1
"250",0,0,1
"251",0,0,1
"252",0,0,1
"253",0,0,1
"254",0,0,1
"255",0,0,1
"256",0,0,1
"257",0,0,1
"258",0,0,1
"259",0,0,1
"260",0,0,1
"261",0,0,1
"262",0,0,1
"263",0,0,1
"264",0,0,1
"265",0,0,1
"266",0,0,1
"267",0,0,1
"268",0,0,1
"269",0,0,1
"270",0,0,1
"271",0,0,1
"272",0,0,1
"273",0,0,1
"274",0,0,1
"275",0,0,1
"276",0,0,1
"277",0,0,1
"278",0,0,1
"279",0,0,1
"280",0,0,1
"281",0,0,1
"282",0,0,1
"283",0,0,1
"284",0,0,1
"285",0,0,1
"286",0,0,1
"287",0,0,1
"288",0,0,1
"289",0,0,1
"290",0,0,1
"291",0,0,1
"292",0,0,1
"293",0,0,1
